num_followers,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4.0,0.0962,0.6305000000000001,224941.5,0.669,2.42E-6,5.0,0.1255,-6.478,1.0,0.05135,120.027,0.47150000000000003
11.0,0.1055,0.6234999999999999,227127.5,0.663,4.435E-6,5.0,0.125,-6.644,1.0,0.0485,120.022,0.46
14.0,0.118,0.637,225560.0,0.665,4.48E-6,5.0,0.124,-6.682,1.0,0.0499,119.928,0.4755
21.0,0.133,0.613,222400.0,0.6465000000000001,4.27E-6,5.0,0.1235,-6.638,1.0,0.051500000000000004,119.989,0.445
22.0,0.123,0.60975,226669.5,0.6655000000000001,3.9225E-6,6.0,0.12775,-6.613250000000001,1.0,0.0492,118.0445,0.47324999999999995
23.0,0.13375,0.6034999999999999,227520.0,0.6452500000000001,2.4825E-6,5.0,0.12925,-7.0175,1.0,0.0483,120.0085,0.44825000000000004
25.0,0.09655,0.593,221372.0,0.6515000000000001,7.9375E-6,5.0,0.12725,-6.76575,1.0,0.0492,120.698,0.4675
31.0,0.111,0.585,223283.75,0.6697500000000001,3.4675000000000003E-6,5.0,0.12175,-6.6375,1.0,0.0475,119.32425,0.461
34.0,0.176,0.5974999999999999,224720.0,0.6005,7.46E-6,5.0,0.124,-6.8285,1.0,0.0457,120.01650000000001,0.4145
36.0,0.188,0.60875,220486.5,0.598,1.5955E-5,5.0,0.12625,-7.258,1.0,0.044050000000000006,118.00425,0.50725
37.0,0.102,0.563,224705.0,0.7415,2.8865E-5,6.0,0.131,-6.26,1.0,0.046,120.076,0.533
41.0,0.13242500000000001,0.594,224385.5,0.6545000000000001,3.2025000000000003E-6,5.0,0.121,-6.478,1.0,0.042325,119.98400000000001,0.44175
45.0,0.09365000000000001,0.643,223413.0,0.7015,1.008E-5,5.0,0.129,-5.781499999999999,1.0,0.05475,120.01,0.494
48.0,0.109,0.575,233036.5,0.6775,1.02475E-4,5.0,0.1235,-6.35525,1.0,0.04605,118.93125,0.40225
50.0,0.10825,0.563,219347.5,0.7335,2.2975E-5,5.0,0.11575,-6.169499999999999,1.0,0.0444,120.02199999999999,0.4885
51.0,0.162,0.639,227029.0,0.585,0.0,5.0,0.131,-7.107,1.0,0.058249999999999996,119.8845,0.423
56.0,0.11424999999999999,0.58725,225580.5,0.656,3.865E-4,5.5,0.1325,-6.817,1.0,0.04635,124.23325,0.50225
58.0,0.123,0.6005,233713.0,0.67,5.59E-6,5.0,0.1295,-6.212,1.0,0.0425,122.853,0.4255
60.0,0.06225,0.6145,229726.5,0.6825,4.46E-6,5.5,0.1215,-5.7815,1.0,0.0421,121.999,0.441
63.0,0.229,0.602,226880.0,0.585,6.86E-6,5.0,0.122,-7.6175,1.0,0.0454,120.064,0.388
66.0,0.255,0.6074999999999999,223260.0,0.537,2.67E-6,5.0,0.112,-6.601,1.0,0.0459,120.946,0.4575
68.0,0.041275,0.58775,220957.25,0.747,0.0,6.0,0.1445,-5.32975,0.5,0.06705,129.0385,0.40625
71.0,0.143,0.6545000000000001,232106.5,0.6085,7.0725E-4,5.0,0.12025,-7.47025,1.0,0.0592,118.761,0.44175
